Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,2818.000000,2827.300049,2780.250000,2784.300049,2754.177490,2127801
2020-12-11,2792.699951,2807.699951,2764.550049,2783.600098,2753.485107,1795408
2020-12-14,2802.000000,2804.000000,2756.250000,2797.699951,2767.432373,2483658
2020-12-15,2786.000000,2794.699951,2755.000000,2761.550049,2731.673584,2365509
2020-12-16,2779.000000,2819.800049,2760.449951,2814.199951,2783.753906,2565149
2020-12-17,2811.000000,2853.699951,2805.000000,2838.199951,2807.494385,2863460
2020-12-18,2868.000000,2898.000000,2846.199951,2861.000000,2830.047852,6076692
2020-12-21,2861.000000,2886.500000,2785.000000,2820.149902,2789.639648,2705195
2020-12-22,2834.000000,2883.649902,2818.649902,2872.500000,2841.423096,2881737
2020-12-23,2876.050049,2919.000000,2865.449951,2908.750000,2877.281250,2790988
2020-12-24,2909.000000,2921.350098,2883.199951,2909.350098,2877.874512,1807144
2020-12-28,2910.000000,2949.699951,2902.000000,2929.399902,2897.707520,2108994
2020-12-29,2920.000000,2952.000000,2920.000000,2930.500000,2898.795654,1994151
2020-12-30,2934.399902,2947.699951,2902.000000,2909.300049,2877.825195,2637968
2020-12-31,2900.000000,2905.000000,2845.000000,2862.750000,2831.778564,4040956
2021-01-01,2880.000000,2940.000000,2879.000000,2928.250000,2896.570068,2681440
2021-01-04,2950.000000,3050.750000,2940.949951,3039.449951,3006.567139,5113293
2021-01-05,3039.600098,3114.250000,3039.600098,3093.000000,3059.537354,5801309
2021-01-06,3100.000000,3113.500000,3037.199951,3051.500000,3018.486572,3726716
2021-01-07,3075.000000,3080.850098,3000.250000,3032.800049,2999.988770,3717827
2021-01-08,3090.000000,3128.000000,3060.000000,3120.899902,3087.135498,5879039
2021-01-11,3230.000000,3230.000000,3146.550049,3176.449951,3142.084717,9508039
2021-01-12,3176.449951,3210.000000,3150.000000,3174.850098,3140.502197,3611458
2021-01-13,3175.000000,3177.000000,3126.250000,3158.949951,3124.774170,3572801
2021-01-14,3155.000000,3266.500000,3120.399902,3250.699951,3221.650635,6931542
2021-01-15,3235.000000,3274.000000,3210.000000,3233.350098,3204.455566,4131692
2021-01-18,3250.000000,3256.750000,3187.399902,3221.750000,3192.959473,4160906
2021-01-19,3233.000000,3279.000000,3232.000000,3260.699951,3231.561035,2975735
2021-01-20,3270.000000,3327.949951,3267.100098,3308.800049,3279.231445,3453446
2021-01-21,3305.000000,3309.149902,3262.100098,3273.850098,3244.593750,2778546
2021-01-22,3241.899902,3325.000000,3241.899902,3303.100098,3273.582275,3052459
2021-01-25,3308.949951,3339.800049,3278.649902,3291.300049,3261.887695,2272887
2021-01-27,3300.000000,3306.449951,3227.000000,3261.050049,3231.907959,2786662
2021-01-28,3230.000000,3275.000000,3183.800049,3196.550049,3167.984619,3083938
2021-01-29,3210.050049,3216.850098,3100.000000,3111.350098,3083.546143,5445659
2021-02-01,3100.000000,3165.000000,3044.100098,3139.350098,3111.295654,3985846
2021-02-02,3174.000000,3224.000000,3150.000000,3203.449951,3174.822754,2881837
2021-02-03,3213.000000,3236.000000,3162.649902,3200.050049,3171.453369,2505866
2021-02-04,3216.050049,3237.850098,3176.000000,3188.449951,3159.956787,2057261
2021-02-05,3198.949951,3205.850098,3129.000000,3157.949951,3129.729492,2366135
2021-02-08,3189.500000,3226.000000,3155.149902,3214.100098,3185.377686,2526592
2021-02-09,3195.000000,3245.800049,3164.000000,3176.899902,3148.510010,2658751
2021-02-10,3185.000000,3219.399902,3157.300049,3213.300049,3184.584717,2127983
2021-02-11,3215.000000,3219.300049,3185.050049,3206.000000,3177.349854,1165882
2021-02-12,3184.199951,3245.500000,3182.000000,3190.800049,3162.286133,2777404
2021-02-15,3209.000000,3209.000000,3131.550049,3139.850098,3111.791260,2630853
2021-02-16,3150.000000,3167.649902,3100.000000,3108.800049,3081.018555,3435770
2021-02-17,3105.100098,3132.850098,3045.550049,3073.100098,3045.637695,3678426
2021-02-18,3065.000000,3097.899902,3031.000000,3057.350098,3030.028564,4189909
2021-02-19,3058.000000,3087.149902,3016.149902,3071.850098,3044.398926,3725028
2021-02-22,3096.000000,3096.000000,2943.149902,2958.449951,2932.011963,5366696
2021-02-23,2970.000000,3028.000000,2968.000000,2980.199951,2953.567627,3832829
2021-02-24,2972.000000,3003.350098,2921.149902,2948.100098,2921.754883,3774549
2021-02-25,2974.000000,3029.899902,2968.449951,2995.300049,2968.532959,4224073
2021-02-26,2960.000000,2972.350098,2880.000000,2894.300049,2868.435303,5553153
2021-03-01,2926.000000,2965.000000,2901.800049,2924.199951,2898.068359,3265871
2021-03-02,2960.000000,3025.000000,2948.000000,3006.350098,2979.484131,3306469
2021-03-03,3035.000000,3064.000000,2996.899902,3059.100098,3031.762939,3509857
2021-03-04,3023.000000,3081.449951,3016.050049,3049.699951,3022.446777,3916760
2021-03-05,3016.100098,3063.199951,2996.600098,3008.050049,2981.168945,3203686
2021-03-08,3016.000000,3033.000000,2996.000000,3006.949951,2980.078857,2003125
2021-03-09,3006.949951,3066.899902,2992.100098,3050.949951,3023.685547,1942397
2021-03-10,3075.000000,3093.199951,3060.000000,3070.949951,3043.506836,3053778
2021-03-12,3075.000000,3117.000000,3041.350098,3057.949951,3030.623047,2938317
2021-03-15,3041.000000,3099.000000,3041.000000,3066.149902,3038.750000,3097083
2021-03-16,3060.000000,3141.000000,3060.000000,3110.050049,3082.257568,4894756
2021-03-17,3105.000000,3155.000000,3085.300049,3112.949951,3085.131348,3838390
2021-03-18,3125.949951,3146.449951,2987.050049,3036.500000,3009.364746,3656306
2021-03-19,3030.000000,3099.000000,3005.000000,3050.199951,3022.942383,5776626
2021-03-22,3048.699951,3139.449951,3018.649902,3129.649902,3101.682129,2821646
2021-03-23,3140.000000,3169.000000,3122.850098,3142.600098,3114.516846,3305973
2021-03-24,3111.199951,3152.300049,3111.149902,3121.100098,3093.208984,2207104
2021-03-25,3112.199951,3130.850098,3050.000000,3064.850098,3037.461426,3179786
2021-03-26,3090.649902,3118.000000,3043.050049,3066.800049,3039.394287,3697370
2021-03-30,3083.000000,3188.449951,3060.899902,3158.550049,3130.324219,4694008
2021-03-31,3155.000000,3205.000000,3132.000000,3177.850098,3149.451660,3530069
2021-04-01,3191.100098,3215.000000,3145.000000,3165.000000,3136.716553,4285076
2021-04-05,3171.000000,3263.000000,3151.000000,3238.899902,3209.956055,5317862
2021-04-06,3275.000000,3275.000000,3230.000000,3264.699951,3235.525391,2291562
2021-04-07,3259.000000,3277.550049,3234.800049,3271.399902,3242.165527,2491268
2021-04-08,3270.000000,3335.000000,3266.050049,3317.350098,3287.705078,2578118
2021-04-09,3354.000000,3354.350098,3308.000000,3322.250000,3292.561035,2911129
2021-04-12,3322.250000,3338.100098,3213.199951,3246.550049,3217.537598,3791828
2021-04-13,3214.000000,3214.000000,3073.050049,3104.050049,3076.311035,8654596
2021-04-15,3160.300049,3237.250000,3087.449951,3218.949951,3190.184326,6062760
2021-04-16,3229.000000,3247.000000,3182.600098,3195.149902,3166.596924,3224657
2021-04-19,3169.000000,3189.000000,3135.100098,3161.800049,3133.545410,2679106
2021-04-20,3225.000000,3225.350098,3126.350098,3144.550049,3116.449219,3141893
2021-04-22,3148.000000,3148.000000,3105.250000,3118.800049,3090.929199,1988980
2021-04-23,3105.000000,3119.000000,3091.050049,3109.500000,3081.712402,1615309
2021-04-26,3102.050049,3153.000000,3088.050049,3100.800049,3073.090332,2490260
2021-04-27,3106.000000,3136.100098,3103.000000,3132.000000,3104.011230,1471417
2021-04-28,3149.949951,3151.000000,3112.000000,3124.100098,3096.182129,1639037
2021-04-29,3145.600098,3157.350098,3105.500000,3115.250000,3087.411133,1621395
2021-04-30,3099.000000,3132.050049,3020.000000,3035.649902,3008.522217,3072305
2021-05-03,3024.899902,3055.000000,3004.000000,3037.000000,3009.860352,1545831
2021-05-04,3062.800049,3090.000000,3035.000000,3049.750000,3022.496338,1990777
2021-05-05,3070.000000,3099.399902,3052.399902,3095.699951,3068.035645,1939289
2021-05-06,3105.500000,3134.000000,3074.000000,3111.449951,3083.645020,1791671
2021-05-07,3133.000000,3159.850098,3111.800049,3132.899902,3104.903320,1912540
2021-05-10,3145.949951,3164.199951,3125.000000,3145.500000,3117.390869,2137153
2021-05-11,3125.000000,3128.100098,3091.149902,3122.600098,3094.695313,2415625
2021-05-12,3120.000000,3120.000000,3070.600098,3087.600098,3060.008301,1978558
2021-05-14,3098.500000,3098.500000,3040.000000,3051.500000,3024.230713,2043935
2021-05-17,3055.000000,3075.199951,3036.000000,3069.750000,3042.317871,2890462
2021-05-18,3100.000000,3124.000000,3078.000000,3088.800049,3061.197510,2098538
2021-05-19,3084.000000,3118.000000,3067.100098,3082.000000,3054.458008,1986041
2021-05-20,3067.100098,3088.800049,3052.100098,3060.000000,3032.654785,2329027
2021-05-21,3061.000000,3088.199951,3055.100098,3080.500000,3052.971680,1685566
2021-05-24,3081.500000,3105.000000,3072.000000,3081.500000,3053.962646,1652260
2021-05-25,3092.000000,3128.250000,3082.100098,3114.000000,3101.268311,1841613
2021-05-26,3120.000000,3165.000000,3103.800049,3158.500000,3145.586426,1923753
2021-05-27,3161.949951,3217.750000,3161.800049,3180.000000,3166.998535,5959785
2021-05-28,3189.500000,3198.000000,3135.649902,3143.600098,3130.747559,1763701
2021-05-31,3150.000000,3170.350098,3128.600098,3159.149902,3146.233643,1652799
2021-06-01,3168.600098,3169.949951,3132.000000,3153.000000,3140.108887,1377441
2021-06-02,3150.850098,3159.449951,3115.000000,3129.449951,3116.655029,2240078
2021-06-03,3154.550049,3154.550049,3122.649902,3141.250000,3128.406982,1281706
2021-06-04,3128.000000,3156.850098,3125.000000,3143.750000,3130.896729,1836060
2021-06-07,3145.000000,3190.449951,3133.600098,3183.199951,3170.185547,2559821
2021-06-08,3198.000000,3231.000000,3187.199951,3200.149902,3187.065918,2574057
2021-06-09,3202.000000,3220.000000,3186.199951,3200.250000,3187.165771,1710925
2021-06-10,3210.000000,3224.000000,3193.000000,3216.800049,3203.648193,1874324
2021-06-11,3211.550049,3309.000000,3211.000000,3273.800049,3260.415039,3452954
2021-06-14,3279.000000,3308.699951,3270.350098,3276.350098,3262.954590,1847360
